date,close_spy,close_gspc,vix,rate_10y
1996-08-18,40.21391677856445,665.2100219726562,14.81,6.56
1996-08-19,40.23270797729492,666.5800170898438,15.27,6.59
1996-08-20,40.20450592041016,665.6900024414062,14.73,6.59
1996-08-21,40.063514709472656,665.0700073242188,14.52,6.61
1996-08-22,40.43952941894531,670.6799926757812,13.71,6.62
1996-08-23,40.22331619262695,667.030029296875,14.18,6.72
1996-08-24,40.22331619262695,667.030029296875,14.18,6.72
1996-08-25,40.22331619262695,667.030029296875,14.18,6.72
1996-08-26,40.025909423828125,663.8800048828125,15.38,6.8
1996-08-27,40.17630386352539,666.4000244140625,15.11,6.78
1996-08-28,40.11051177978515,664.8099975585938,15.1,6.79
1996-08-29,39.7157096862793,657.4000244140625,16.22,6.86
1996-08-30,39.302093505859375,651.989990234375,17.01,6.96
1996-08-31,39.302093505859375,651.989990234375,17.01,6.96
1996-09-01,39.302093505859375,651.989990234375,17.01,6.96
1996-09-02,39.302093505859375,651.989990234375,17.01,6.96
1996-09-03,39.55593490600586,654.719970703125,18.47,6.92
1996-09-04,39.59353256225586,655.6099853515625,18.64,6.94
1996-09-05,39.114105224609375,649.4400024414062,20.51,6.98
1996-09-06,39.6687126159668,655.6799926757812,17.1,6.94
1996-09-07,39.6687126159668,655.6799926757812,17.1,6.94
1996-09-08,39.6687126159668,655.6799926757812,17.1,6.94
1996-09-09,40.138710021972656,663.760009765625,16.36,6.9
1996-09-10,40.119903564453125,663.8099975585938,16.25,6.94
1996-09-11,40.34552001953125,667.280029296875,16.06,6.94
1996-09-12,40.62752914428711,671.1500244140625,15.97,6.88
1996-09-13,41.24795150756836,680.5399780273438,15.2,6.74
1996-09-14,41.24795150756836,680.5399780273438,15.2,6.74
1996-09-15,41.24795150756836,680.5399780273438,15.2,6.74
1996-09-16,41.3983154296875,683.97998046875,15.43,6.73
1996-09-17,41.3043327331543,682.9400024414062,15.74,6.81
1996-09-18,41.200927734375,681.469970703125,15.86,6.83
1996-09-19,41.36075592041016,683.0,16.03,6.87
1996-09-20,41.50747299194336,687.030029296875,15.65,6.85
1996-09-21,41.50747299194336,687.030029296875,15.65,6.85
1996-09-22,41.50747299194336,687.030029296875,15.65,6.85
1996-09-23,41.49800491333008,686.47998046875,16.46,6.83
1996-09-24,41.488555908203125,685.6099853515625,16.45,6.77
1996-09-25,41.51688766479492,685.8300170898438,16.22,6.71
1996-09-26,41.49800491333008,685.8599853515625,16.11,6.66
1996-09-27,41.53578567504883,686.1900024414062,16.1,6.68
1996-09-28,41.53578567504883,686.1900024414062,16.1,6.68
1996-09-29,41.53578567504883,686.1900024414062,16.1,6.68
1996-09-30,41.49800491333008,687.3300170898438,16.95,6.72
1996-10-01,41.72478866577149,689.0800170898438,17.05,6.65
1996-10-02,42.00821685791016,694.010009765625,16.78,6.61
1996-10-03,41.97043991088867,692.780029296875,16.77,6.61
1996-10-04,42.537349700927734,701.4600219726562,14.8,6.48
1996-10-05,42.537349700927734,701.4600219726562,14.8,6.48
1996-10-06,42.537349700927734,701.4600219726562,14.8,6.48
1996-10-07,42.58458709716797,703.3400268554688,15.11,6.53
1996-10-08,42.41449737548828,700.6400146484375,15.58,6.53
1996-10-09,42.08384323120117,696.739990234375,16.09,6.55
1996-10-10,41.998783111572266,694.6099853515625,16.26,6.61
1996-10-11,42.51845169067383,700.6599731445312,15.07,6.55
1996-10-12,42.51845169067383,700.6599731445312,15.07,6.55
1996-10-13,42.51845169067383,700.6599731445312,15.07,6.55
1996-10-14,42.575138092041016,703.5399780273438,15.13,6.55
1996-10-15,42.51845169067383,702.5700073242188,15.83,6.56
1996-10-16,42.72631072998047,704.4099731445312,15.6,6.57
1996-10-17,42.83968353271485,706.989990234375,15.41,6.51
1996-10-18,43.06645584106445,710.8200073242188,15.08,6.5
1996-10-19,43.06645584106445,710.8200073242188,15.08,6.5
1996-10-20,43.06645584106445,710.8200073242188,15.08,6.5
1996-10-21,43.009769439697266,709.8499755859375,15.98,6.52
1996-10-22,42.70743942260742,706.5700073242188,16.4,6.56
1996-10-23,42.84914779663086,707.27001953125,16.45,6.56
1996-10-24,42.48066711425781,702.2899780273438,16.89,6.57
1996-10-25,42.51845169067383,700.9199829101562,17.29,6.54
1996-10-26,42.51845169067383,700.9199829101562,17.29,6.54
1996-10-27,42.51845169067383,700.9199829101562,17.29,6.54
1996-10-28,42.23499298095703,697.260009765625,18.34,6.56
1996-10-29,42.575138092041016,701.5,18.28,6.4
1996-10-30,42.433406829833984,700.9000244140625,18.48,6.4
1996-10-31,42.83968353271485,705.27001953125,18.11,6.37
1996-11-01,42.68852615356445,703.77001953125,17.89,6.38
1996-11-02,42.68852615356445,703.77001953125,17.89,6.38
1996-11-03,42.68852615356445,703.77001953125,17.89,6.38
1996-11-04,42.97196960449219,706.72998046875,18.04,6.36
1996-11-05,43.2176399230957,714.1400146484375,17.65,6.28
1996-11-06,44.04913330078125,724.5900268554688,16.97,6.3
1996-11-07,44.15304183959961,727.6500244140625,17.21,6.26
1996-11-08,44.398681640625,730.8200073242188,15.78,6.29
1996-11-09,44.398681640625,730.8200073242188,15.78,6.29
1996-11-10,44.398681640625,730.8200073242188,15.78,6.29
1996-11-11,44.351463317871094,731.8699951171875,14.04,6.29
1996-11-12,44.21919631958008,729.5599975585938,15.36,6.19
1996-11-13,44.41759490966797,731.1300048828125,14.89,6.2
1996-11-14,44.71049499511719,735.8800048828125,13.79,6.15
1996-11-15,44.767208099365234,737.6199951171875,14.36,6.19
1996-11-16,44.767208099365234,737.6199951171875,14.36,6.19
1996-11-17,44.767208099365234,737.6199951171875,14.36,6.19
1996-11-18,44.776668548583984,737.02001953125,15.12,6.2
1996-11-19,45.0979118347168,742.1599731445312,15.23,6.17
1996-11-20,45.173484802246094,743.9500122070312,15.94,6.14
1996-11-21,45.10736083984375,742.75,15.77,6.15
1996-11-22,45.45695495605469,748.72998046875,14.92,6.15
